	slide1	slide2	slide3	slide4	slide5	slide6	slide7	slide8	slide9	slide10
GENE1	8,136489	8,020742	8,105269	8,3526	8,044399	8,555211	8,496342	7,974065	7,74088	8,39491
GENE2	8,608907	8,38992	9,119852	8,671075	8,480913	8,59402	8,184585	8,489798	8,426034	8,545109
GENE3	4,977687	4,98433	4,85017	4,893435	5,193075	4,94942	4,998496	4,980808	4,967728	4,918314
GENE4	9,023668	7,327212	7,309029	7,838179	9,505616	7,872974	8,105159	7,007136	8,20998	7,304166
GENE5	4,881581	5,744801	4,519667	5,495324	4,978156	5,030566	4,880336	5,631258	5,137603	5,025512
GENE6	5,241066	8,426841	5,238004	7,710291	6,674781	7,36132	7,665222	8,555521	6,059561	7,421118
GENE7	4,745728	5,099833	4,864924	4,852615	4,955687	5,287192	5,005968	4,682245	4,968876	4,896717
GENE8	7,061101	6,87312	6,885453	6,849019	6,845645	6,762128	6,711207	6,82806	6,932216	6,902273
GENE9	6,01493	7,828888	5,842589	7,064259	8,970628	5,768884	6,913642	6,336051	6,26186	6,352926
GENE10	6,210185	6,366175	5,935228	6,163621	5,981169	5,976426	5,792963	6,265615	6,354689	6,27009
GENE11	7,445329	7,398247	7,144445	7,548368	7,543764	7,294965	7,306275	7,399062	7,579221	7,344438
GENE12	5,834674	8,978464	4,601497	8,023672	8,375225	7,948376	8,117578	7,740847	5,539858	7,411923
GENE13	6,122288	7,413385	6,644574	6,936953	6,14551	6,745877	7,074701	7,811301	6,887444	6,839677
GENE14	4,220257	4,68185	4,528162	4,063176	4,507781	4,625288	4,539581	4,5944	4,465727	4,459871
GENE15	8,693351	8,876611	8,651821	8,871471	8,504507	8,773922	8,970006	8,760013	8,585638	8,653368
GENE16	4,92846	4,671008	5,906811	5,342237	4,916359	5,215174	5,061903	5,521112	6,202502	5,375076
GENE17	5,362719	4,250862	4,437842	5,037661	4,667935	4,907084	4,574797	4,035996	5,594393	5,57111
GENE18	7,31583	10,601143	6,730589	9,421179	9,507678	8,863057	9,003202	10,08235	6,960847	9,374908
GENE19	3,765709	3,552969	3,954845	3,376818	3,734821	3,559765	3,62522	3,606868	3,753035	3,974445
GENE20	5,57572	5,56896	6,614546	5,867513	5,559802	6,012924	5,938996	6,157629	6,055349	5,773671
GENE21	6,675983	7,063875	7,267938	6,725706	6,708742	6,902301	6,824921	7,209233	6,71201	6,900676
GENE22	7,971275	7,2929	7,328944	7,201511	7,439186	6,920833	7,868554	6,900666	7,116213	6,667624
GENE23	3,576571	4,455634	3,749943	4,255511	4,29881	3,897968	4,455634	5,28461	3,774822	3,946288
GENE24	5,968279	5,626755	5,430501	5,252655	6,08399	5,455423	5,76986	5,482016	5,411969	5,462929
GENE25	10,491284	9,648507	10,447041	10,395134	9,732322	10,107916	9,82821	10,063946	10,130982	10,333907
GENE26	7,95478	8,081532	7,331081	8,214036	6,863739	6,997346	8,048138	7,723319	7,30092	7,136019
GENE27	4,787973	4,601191	4,824115	4,663146	4,807708	5,020304	5,050067	4,619281	4,7393	4,775782
GENE28	6,517065	6,56205	6,484887	6,56205	6,502175	6,721611	6,550186	6,517162	6,575857	6,72843
GENE29	2,774283	3,264675	3,275956	2,865394	2,861752	3,134065	3,043248	3,166656	3,200357	2,99788
GENE30	10,092939	11,135247	9,058887	10,33557	9,587714	10,30413	10,250726	10,927477	9,452798	10,201976
GENE31	3,702005	3,932011	3,885616	3,811821	3,888275	4,032857	3,8514	3,966214	3,632306	3,61188
GENE32	5,996018	5,975543	6,297145	5,790359	6,253756	6,050203	5,984997	5,922832	6,200538	6,133704
GENE33	10,363787	10,226982	10,31944	10,349024	9,606018	10,139471	10,043882	10,108968	10,430662	10,132912
GENE34	6,938259	7,082166	6,797941	6,876933	6,422383	6,958353	6,693165	7,372607	6,740778	6,966402
GENE35	6,152541	6,373756	6,402347	6,361243	6,338736	6,351309	6,317905	6,649277	6,344696	6,292743
GENE36	6,360882	4,551307	5,107783	4,942184	5,862818	4,824632	5,510345	4,128421	4,748336	4,656096
GENE37	4,865457	4,922543	4,594155	4,62436	4,547859	5,036203	4,813249	4,906068	4,866367	4,733363
GENE38	4,88715	4,737036	4,759903	4,679732	4,490278	4,88715	4,730103	4,73963	4,761155	4,720297
GENE39	4,360873	4,799325	4,353626	4,320232	4,356171	4,406867	4,314942	4,465943	4,346047	4,288626
GENE40	5,633247	6,101827	5,56896	5,679542	6,069183	6,048535	5,730596	5,771027	5,790359	6,212616
GENE41	5,780328	6,124516	5,74199	6,015717	5,817841	6,017752	5,971042	5,948715	6,203231	6,097629
GENE42	4,017984	3,79769	4,225845	4,361235	3,87722	4,808154	3,893557	4,078783	4,161467	4,421509
GENE43	3,841059	3,519884	3,543713	3,240356	3,319836	3,275546	3,409556	3,567464	3,677141	3,690014
GENE44	5,239606	6,145083	4,996373	5,935485	5,64338	5,741792	5,986658	6,749231	5,565647	5,869591
GENE45	5,22844	5,028918	5,106095	5,235492	6,676846	5,212663	5,413831	4,844227	4,923821	4,808523
GENE46	4,480604	6,210185	4,194902	5,652212	4,920769	5,269309	4,796739	6,16465	4,467432	5,206211
GENE47	3,812932	3,875674	3,966214	4,29998	4,235773	4,063176	3,809158	4,18673	3,659483	3,99413
GENE48	6,684898	6,027776	5,929905	5,857548	5,847058	6,060272	6,200941	5,891637	6,559268	7,04856
GENE49	5,710426	6,743107	5,563852	6,263829	6,103623	6,159587	5,998947	6,727845	5,793806	6,127866
GENE50	7,874306	7,525524	8,160209	7,914738	7,132106	7,761517	7,76732	8,010126	8,12618	7,601678
GENE51	6,322419	4,734985	6,116566	5,587802	4,925203	5,656942	6,674952	5,451633	5,02914	5,841495
GENE52	6,266686	6,083697	6,245475	6,068097	6,192079	6,301817	6,268834	6,387623	6,442873	6,192108
GENE53	5,795858	5,903254	4,478247	6,179944	5,855691	6,019619	5,391331	5,929822	5,707868	6,079996
GENE54	5,253243	5,464582	5,37639	5,373124	5,613878	5,480373	5,298953	5,382273	5,29974	5,525001
GENE55	5,404954	5,233127	5,107783	5,252655	5,266953	5,111193	5,279643	5,093548	5,209261	4,963489
GENE56	6,248934	6,407532	6,223356	6,269115	6,629917	5,886096	5,782518	6,313079	6,470814	6,571805
GENE57	4,6855	5,449683	5,16228	5,20508	5,315335	4,881504	5,139777	5,542357	5,116425	5,225245
GENE58	4,908163	4,809625	5,182661	5,019227	5,116717	4,941297	4,941803	4,73152	5,592268	4,716492
GENE59	3,196729	3,025575	3,17083	2,851472	2,979418	3,269334	3,161923	3,006246	3,305889	2,961673
GENE60	2,975757	3,158299	2,955367	2,925018	3,187831	3,126269	2,852114	2,987461	3,049466	3,072551
GENE61	5,086423	5,053826	5,06339	5,039176	4,636781	5,197018	5,12835	5,022319	5,063525	5,269355
GENE62	3,758454	4,046637	5,170344	4,061695	3,917865	4,266113	4,090756	4,425617	4,535555	4,1747
GENE63	5,977256	6,661792	6,11392	6,409018	6,301411	6,384064	6,433642	6,721987	5,807125	6,428361
GENE64	5,87286	8,06115	5,967255	7,314475	6,952445	7,008288	7,809297	8,316248	6,086582	6,818967
GENE65	5,179192	5,413133	5,253748	5,025399	5,24636	5,257475	5,25965	5,452227	5,362719	5,402996
GENE66	6,655648	5,803234	6,005255	5,611794	7,432931	5,365529	5,69966	4,805232	5,797509	5,146966
GENE67	3,178712	3,016585	3,168249	3,128171	3,009396	3,153011	3,089797	3,465981	2,986371	3,152839
GENE68	5,278186	4,972184	4,89229	4,92764	5,208323	5,064801	5,028352	5,022398	4,956705	5,074263
GENE69	3,194349	3,461734	3,013308	3,17959	3,028719	3,260441	3,083946	3,213655	3,076298	3,220023
GENE70	3,399502	3,468338	3,454404	3,477562	3,48223	3,39817	3,453184	3,551519	3,472559	3,569968
GENE71	3,787049	3,966214	3,755374	3,992513	3,845717	4,026051	3,787745	3,99211	3,622154	3,957616
GENE72	6,674836	7,285559	7,183941	7,10305	6,8713	7,612223	6,965224	7,371679	6,682848	7,073888
GENE73	5,204188	4,979696	4,73133	4,752692	5,071706	4,807088	4,722913	4,974594	4,94985	4,894542
GENE74	4,581388	4,907396	5,398488	4,930671	5,278339	5,02984	5,372897	5,288824	6,006288	5,361551
GENE75	6,764719	6,770002	6,909436	6,712239	6,778996	6,984466	6,688206	6,898745	6,990081	6,924161
GENE76	3,92309	3,933607	4,373825	3,899271	4,350436	4,037466	3,979852	3,562774	4,233475	4,008391
GENE77	4,146254	4,261713	4,017763	4,188404	4,281399	4,088856	4,385545	4,183311	4,139487	3,939265
GENE78	3,141096	3,128231	3,72818	3,44645	3,512043	3,580743	3,856789	3,60538	3,998935	3,125045
GENE79	4,012458	3,92238	3,808992	4,016879	3,959757	3,995497	3,837619	3,936261	4,037091	3,817348
GENE80	2,965156	2,689466	2,94323	2,979872	2,790954	3,066585	2,829051	2,923474	2,833664	2,877164
GENE81	5,274245	5,199483	5,031432	5,351841	5,391664	5,295691	5,143541	5,117268	4,891014	5,225671
GENE82	6,724226	6,350235	6,424565	6,269854	6,337873	6,571512	6,486731	6,273192	6,590366	6,571667
GENE83	4,343403	4,283761	4,37005	4,50553	4,180741	4,198782	4,494615	4,374219	4,324486	4,474261
GENE84	4,521198	4,478053	4,522454	4,454477	4,474973	4,536404	4,30855	4,177566	4,203087	4,433508
GENE85	4,571924	3,496002	3,832087	3,365521	4,894614	3,936403	4,18131	3,326453	3,180583	2,931812
GENE86	5,489663	5,580441	7,212202	7,056004	5,164938	4,93213	6,845608	6,159732	5,791198	4,514487
GENE87	3,191179	3,374486	3,133901	3,279035	2,984559	3,047193	3,085561	3,077363	3,190339	3,283771
GENE88	4,111216	4,126521	4,081312	4,192409	4,335175	3,916378	4,052796	3,799866	4,035643	4,02722
GENE89	3,404802	3,452745	3,926592	3,532882	3,456089	3,745969	3,477363	3,458963	3,717704	3,342872
GENE90	3,769858	3,839213	3,651654	3,940377	3,779899	3,895044	3,56039	3,82439	3,695459	4,080431
GENE91	3,706025	4,014847	3,893874	3,856269	3,845717	4,215692	4,125855	3,966568	3,542596	3,910894
GENE92	7,154213	7,45197	7,971759	7,318935	6,829181	7,758473	7,291372	7,539449	7,310741	7,484748
GENE93	5,362719	5,533241	5,464891	5,568723	5,091886	5,480216	5,109855	5,789309	5,315502	5,720193
GENE94	5,687467	8,692175	6,059441	7,933591	7,402702	8,006537	8,440189	9,432045	6,638264	8,358674
GENE95	3,54579	3,639649	3,685239	3,487293	3,1639	3,660191	3,580258	3,604096	3,601945	3,501326
GENE96	3,559499	3,598566	3,550767	3,549616	3,45426	3,594799	3,67036	3,376977	3,490147	3,758276
GENE97	3,535522	3,852935	3,750206	3,676298	4,03043	3,782144	3,822211	4,078911	3,705071	3,824963
GENE98	5,889655	5,53482	5,458038	5,638304	5,429033	5,617616	5,532125	5,777931	5,497903	5,774743
GENE99	3,308427	3,822156	3,587231	3,365521	3,744951	3,747964	3,563577	3,854664	3,601945	3,597874
GENE100	4,109836	3,776321	4,028449	3,728975	3,712601	3,78153	3,720457	3,728975	3,873078	3,958832
GENE101	3,530126	3,729743	3,638924	3,470212	3,690014	3,820374	3,614884	3,576338	3,498363	3,644251
GENE102	3,967707	3,614964	4,522224	3,932883	3,847289	4,006066	3,783859	3,764785	4,827846	3,925355
GENE103	3,692805	3,891476	4,135719	3,769868	3,842751	3,838594	3,807311	3,801525	3,902668	4,128306
